electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"6201212015B00279","94db5c72-94c3-4d00-97b2-a96ff63a9d48","甘肃省","兰州市","兰州市","永登县龙泉寺镇水槽沟村，北至龙中公路南，东接万华商厦、居民宅，南接甘肃省农村信用社龙泉分社，西至国道312线","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=94db5c72-94c3-4d00-97b2-a96ff63a9d48",0.000000,0.000000,36.477912,103.389136,0
"6201002013B00120","0a433e3f-5a3b-4719-82bd-f4a02148d3b6","甘肃省","兰州市","兰州市","高新区七里河园区彭家坪片区S229号规划路以南、S223号规划路以北、S206号规划路以西、B204号规划路以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0a433e3f-5a3b-4719-82bd-f4a02148d3b6",0.000000,0.000000,36.055356,103.702128,0
"6201002009B00276","2fda20ac-14b4-492e-8a43-1506afddf748","甘肃省","兰州市","兰州市","七里河区滨河中路443号，T122号规划路及其匝道以东、南滨河中路（T140号规划路）以南、丽景苑住宅小区以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2fda20ac-14b4-492e-8a43-1506afddf748",0.000000,0.000000,36.081800,103.764128,0
"6201002016B00838","98fe9fb5-0ac2-436c-bb64-17a59493715c","甘肃省","兰州市","兰州市","西固区银泰逸翠园住宅小区规划内路东侧，T021#规划道路南侧、兰化宏达公司橡胶厂西侧、排洪沟北侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=98fe9fb5-0ac2-436c-bb64-17a59493715c",0.000000,0.000000,36.083548,103.649168,0
"6201002009B00475","84f7cd67-476d-4ace-8dce-7acdfac96160","甘肃省","兰州市","兰州市","兰州市七里河区西津东路120号，T199#西津东路以北，兰州市第二建筑集团有限公司以东，兰州市第二建筑集团有限公司家属院以南，兰州市工人文化宫以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=84f7cd67-476d-4ace-8dce-7acdfac96160",0.000000,0.000000,36.060736,103.804224,0
"6201212018B00425","dacb9b0e-69a9-43de-bf49-1744fd035ba0","甘肃省","兰州市","兰州市","树屏镇哈家咀村，北至张家沟道路，南至空地和荒山，西至永登县华通机械设备有限责任公司和永登县华辉仓储物流有限公司，东至水渠","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dacb9b0e-69a9-43de-bf49-1744fd035ba0",0.000000,0.000000,36.484132,103.223824,0
"6201222016B00279","6f105774-8c14-4971-a74e-2a895b527877","甘肃省","兰州市","兰州市","忠和镇盐池村，北以规划青年路为界，东以规划凯旋路、西以规划11号路、南以规划金茂街为界。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6f105774-8c14-4971-a74e-2a895b527877",0.000000,0.000000,36.346020,102.862064,0
"6201222016B00239","9cce6755-e638-435b-bfd9-56a2d7efe0e5","甘肃省","兰州市","兰州市","忠和镇盐池村，北以实际控制线为界，东以规划20号路，西以规划中和路、南以规划14号路为界。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9cce6755-e638-435b-bfd9-56a2d7efe0e5",0.000000,0.000000,36.108664,103.637032,0
"6201222018B00170-1","fdd0f45a-d860-4801-b01b-f30e7a7fb779","甘肃省","兰州市","兰州市","该宗地位于忠和镇崖川村，东以国道109线为界，南以忠和电信所为界，西北均以实际控制线为界。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fdd0f45a-d860-4801-b01b-f30e7a7fb779",0.000000,0.000000,36.228064,103.800600,0
"6201002014B00019","2ebe7eb2-8219-4c9e-8b03-8dd1176c5bfc","甘肃省","兰州市","兰州市","位于兰州高新区东部科技新城纬十五路以北，经七路以西，纬十四南路以南，经五路以东范围","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2ebe7eb2-8219-4c9e-8b03-8dd1176c5bfc",0.000000,0.000000,36.463800,103.702328,0
